Name,ID,Overall Impact,criticality,Data Related,WCAG Level,Difficulty to Fix in Post-deployment,Missing Label Related,Description,Help,URL
Landmark Has Bad Structure (main not at root),landmark-main-is-top-level,moderate (1),less critical (0),Yes,N/A,Difficult (2),No,Ensures the main landmark is at top level,Main landmark should not be contained in another landmark,https://dequeuniversity.com/rules/axe/4.9/landmark-main-is-top-level?application=playwright
Landmark Has Bad Structure (duplicates),landmark-no-duplicate-main,moderate (1),less critical (0),Yes,N/A,Difficult (2),No,Ensures the document has at most one main landmark,Document should not have more than one main landmark,https://dequeuniversity.com/rules/axe/4.9/landmark-no-duplicate-main?application=playwright
ARIA Role Bad Structre (no required children exist),aria-required-children,severe (2),critical (1),Yes,A,Difficult (2),No,Ensures elements with an ARIA role that require child roles contain them,Certain ARIA roles must contain particular children,https://dequeuniversity.com/rules/axe/4.9/aria-required-children?application=playwright
ARIA Role Bad Structre (no required parent exist),aria-required-parent,severe (2),critical (1),Yes,A,Difficult (2),No,Ensures elements with an ARIA role that require parent roles are contained by them,Certain ARIA roles must be contained by particular parents,https://dequeuniversity.com/rules/axe/4.9/aria-required-parent?application=playwright
Lang with Error (conflicting language),html-xml-lang-mismatch,moderate (1),critical (1),Yes,A,Moderate (1),No,Ensure that HTML elements with both valid lang and xml:lang attributes agree on the base language of the page,HTML elements with lang and xml:lang must have the same base language,https://dequeuniversity.com/rules/axe/4.9/html-xml-lang-mismatch?application=playwright
ARIA Role Has No Label,aria-command-name,severe (2),critical (1),Yes,A,Difficult (2),Yes,"Ensures every ARIA button, link and menuitem has an accessible name",ARIA commands must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-command-name?application=playwright
Aria Image Has No Label,role-img-alt,severe (2),critical (1),Yes,A,Difficult (2),Yes,"Ensures [role=img""] elements have alternate text""","[role=img""] elements must have an alternative text""",https://dequeuniversity.com/rules/axe/4.9/role-img-alt?application=playwright
Frame With Error (duplicated title),frame-title-unique,moderate (1),less critical (0),Yes,A,Moderate (1),No,Ensures <iframe> and <frame> elements contain a unique title attribute,Frames must have a unique title attribute,https://dequeuniversity.com/rules/axe/4.9/frame-title-unique?application=playwright
Image Button Has No Label,input-image-alt,severe (2),critical (1),Yes,A,Difficult (2),Yes,"Ensures <input type=image""> elements have alternate text""",Image buttons must have alternate text,https://dequeuniversity.com/rules/axe/4.9/input-image-alt?application=playwright
SVG Image Has No Label,svg-img-alt,severe (2),critical (1),Yes,A,Difficult (2),Yes,"Ensures <svg> elements with an img, graphics-document or graphics-symbol role have an accessible text",<svg> elements with an img role must have an alternative text,https://dequeuniversity.com/rules/axe/4.9/svg-img-alt?application=playwright
Table Has Bad Structure (scope),scope-attr-valid,severe (2),critical (1),Yes,A,Difficult (2),Yes,Ensures the scope attribute is used correctly on tables,scope attribute should be used correctly,https://dequeuniversity.com/rules/axe/4.9/scope-attr-valid?application=playwright
Tooltip Has No Label,aria-tooltip-name,severe (2),critical (1),Yes,A,Difficult (2),Yes,Ensures every ARIA tooltip node has an accessible name,ARIA tooltip nodes must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-tooltip-name?application=playwright
Treeitem Has No Label,aria-treeitem-name,severe (2),critical (1),Yes,A,Difficult (2),Yes,Ensures every ARIA treeitem node has an accessible name,ARIA treeitem nodes should have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-treeitem-name?application=playwright
Should Not Refresh Through Meta,meta-refresh,moderate (1),less critical (0),Yes,A,Difficult (2),No,"Ensures <meta http-equiv=refresh""> is not used for delayed refresh""",Delayed refresh under 20 hours must not be used,https://dequeuniversity.com/rules/axe/4.9/meta-refresh?application=playwright
Toggle Has No Label,aria-toggle-field-name,severe (2),critical (1),Yes,A,Difficult (2),Yes,Ensures every ARIA toggle field has an accessible name,ARIA toggle fields must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-toggle-field-name?application=playwright
Frame Not Focusable,frame-focusable-content,moderate (1),critical (1),Yes,A,Moderate (1),No,Ensures <frame> and <iframe> elements with focusable content do not have tabindex=-1,Frames with focusable content must not have tabindex=-1,https://dequeuniversity.com/rules/axe/4.9/frame-focusable-content?application=playwright
Media Autoplay,no-autoplay-audio,minor (0),less critical (0),No,A,Easy (0),No,Ensures <video> or <audio> elements do not autoplay audio for more than 3 seconds without a control mechanism to stop or mute the audio,<video> or <audio> elements must not play automatically,https://dequeuniversity.com/rules/axe/4.9/no-autoplay-audio?application=playwright
